0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000331,0.000665,0.001001,0.001342,0.001690,0.002045,0.002411,0.002787,0.003177,0.003582,0.004003,0.004442,0.004903,0.005385,0.005893,0.006427,0.006990,0.007585,0.008213,0.008879,0.009583,0.010330,0.011123,0.011964,0.012858,0.013807,0.014816,0.015889,0.017031,0.018245,0.019536,0.020911,0.022375,0.023932,0.025591,0.027357,0.029237,0.031240,0.033373,0.035645,0.038064,0.040642,0.043388,0.046313,0.049429,0.052749,0.056286,0.060055,0.064070
0.000000,0.000662,0.001327,0.001998,0.002679,0.003373,0.004083,0.004812,0.005564,0.006342,0.007149,0.007990,0.008868,0.009786,0.010750,0.011762,0.012828,0.013952,0.015139,0.016394,0.017722,0.019129,0.020620,0.022202,0.023881,0.025664,0.027559,0.029573,0.031715,0.033993,0.036416,0.038994,0.041738,0.044658,0.047768,0.051078,0.054602,0.058356,0.062353,0.066610,0.071144,0.075973,0.081117,0.086598,0.092435,0.098655,0.105281,0.112341,0.119863,0.127877
0.000000,0.000989,0.001984,0.002987,0.004006,0.005043,0.006104,0.007195,0.008319,0.009482,0.010689,0.011946,0.013258,0.014631,0.016071,0.017585,0.019179,0.020859,0.022633,0.024509,0.026494,0.028597,0.030826,0.033191,0.035701,0.038367,0.041200,0.044210,0.047412,0.050816,0.054439,0.058293,0.062394,0.066760,0.071408,0.076356,0.081625,0.087235,0.093210,0.099573,0.106351,0.113570,0.121260,0.129452,0.138179,0.147476,0.157381,0.167934,0.179178,0.191159
0.000000,0.001313,0.002632,0.003965,0.005316,0.006693,0.008101,0.009548,0.011040,0.012583,0.014185,0.015853,0.017594,0.019417,0.021328,0.023337,0.025451,0.027681,0.030036,0.032525,0.035159,0.037949,0.040907,0.044045,0.047376,0.050913,0.054672,0.058667,0.062915,0.067433,0.072239,0.077353,0.082796,0.088589,0.094756,0.101322,0.108313,0.115757,0.123685,0.132129,0.141122,0.150702,0.160905,0.171775,0.183355,0.195691,0.208834,0.222837,0.237757,0.253655
0.000000,0.001631,0.003271,0.004926,0.006605,0.008316,0.010065,0.011863,0.013716,0.015634,0.017624,0.019696,0.021859,0.024123,0.026498,0.028993,0.031621,0.034391,0.037316,0.040408,0.043680,0.047147,0.050821,0.054720,0.058858,0.063252,0.067921,0.072884,0.078161,0.083774,0.089744,0.096097,0.102858,0.110055,0.117715,0.125872,0.134557,0.143805,0.153653,0.164142,0.175314,0.187214,0.199890,0.213393,0.227778,0.243103,0.259430,0.276825,0.295360,0.315108
0.000000,0.001943,0.003896,0.005867,0.007867,0.009905,0.011989,0.014130,0.016337,0.018621,0.020991,0.023459,0.026036,0.028732,0.031560,0.034532,0.037661,0.040961,0.044444,0.048127,0.052024,0.056152,0.060528,0.065171,0.070099,0.075332,0.080893,0.086803,0.093088,0.099771,0.106882,0.114447,0.122499,0.131069,0.140193,0.149906,0.160249,0.171262,0.182991,0.195482,0.208787,0.222958,0.238054,0.254135,0.271265,0.289516,0.308960,0.329676,0.351749,0.375267
0.000000,0.002247,0.004505,0.006785,0.009097,0.011453,0.013863,0.016339,0.018891,0.021532,0.024273,0.027127,0.030106,0.033224,0.036494,0.039931,0.043548,0.047363,0.051391,0.055649,0.060155,0.064928,0.069988,0.075356,0.081053,0.087104,0.093533,0.100367,0.107633,0.115360,0.123581,0.132329,0.141638,0.151547,0.162095,0.173325,0.185283,0.198017,0.211577,0.226020,0.241402,0.257787,0.275240,0.293832,0.313639,0.334740,0.357220,0.381172,0.406692,0.433884
0.000000,0.002542,0.005096,0.007675,0.010291,0.012955,0.015682,0.018482,0.021369,0.024356,0.027456,0.030684,0.034054,0.037580,0.041279,0.045166,0.049258,0.053572,0.058128,0.062944,0.068040,0.073439,0.079161,0.085232,0.091676,0.098520,0.105791,0.113519,0.121737,0.130477,0.139774,0.149667,0.160196,0.171402,0.183332,0.196033,0.209557,0.223958,0.239295,0.255629,0.273026,0.291557,0.311296,0.332323,0.354724,0.378588,0.404013,0.431102,0.459964,0.490718
0.000000,0.002826,0.005666,0.008533,0.011442,0.014405,0.017436,0.020549,0.023759,0.027080,0.030527,0.034116,0.037863,0.041783,0.045895,0.050217,0.054766,0.059563,0.064627,0.069981,0.075647,0.081648,0.088010,0.094759,0.101923,0.109531,0.117615,0.126207,0.135342,0.145058,0.155394,0.166392,0.178097,0.190555,0.203817,0.217937,0.232971,0.248981,0.266030,0.284189,0.303529,0.324129,0.346073,0.369449,0.394351,0.420881,0.449146,0.479260,0.511347,0.545535
0.000000,0.003099,0.006213,0.009357,0.012546,0.015795,0.019119,0.022533,0.026052,0.029694,0.033474,0.037409,0.041516,0.045815,0.050324,0.055062,0.060050,0.065309,0.070862,0.076732,0.082944,0.089524,0.096499,0.103899,0.111753,0.120094,0.128957,0.138377,0.148392,0.159045,0.170377,0.182435,0.195267,0.208925,0.223465,0.238946,0.255429,0.272981,0.291673,0.311581,0.332785,0.355370,0.379428,0.405057,0.432359,0.461445,0.492434,0.525450,0.560628,0.598111
