# tiempo_min   distancia_km   v_km_per_min   v_m_per_s
   8.84000015E+00   1.89999998E+00  -2.63999986E+00  -4.39999977E+01
   9.09000015E+00   1.24000001E+00  -2.00000001E+00  -3.33333335E+01
   9.34000015E+00   8.99999976E-01  -9.57285059E-01  -1.59547510E+01
   9.60000038E+00   7.59999990E-01  -3.86304354E-01  -6.43840590E+00
   9.85000038E+00   6.99999988E-01  -2.00000041E-01  -3.33333402E+00
   1.01000004E+01   6.59999967E-01  -1.19999996E-01  -1.99999993E+00
   1.03500004E+01   6.39999986E-01   7.23384144E-02   1.20564024E+00
   1.06099997E+01   6.99999988E-01   3.98612426E-01   6.64354044E+00
   1.08599997E+01   8.39999974E-01   8.00000064E-01   1.33333344E+01
   1.11099997E+01   1.10000002E+00   1.19999993E+00   1.99999989E+01
   1.13599997E+01   1.43999994E+00   1.56060248E+00   2.60100414E+01
   1.16199999E+01   1.89999998E+00   1.96844610E+00   3.28074350E+01
   1.18699999E+01   2.44000006E+00   2.20000004E+00   3.66666673E+01
   1.21199999E+01   3.00000000E+00   2.11999988E+00   3.53333313E+01
   1.23699999E+01   3.50000000E+00   1.66063341E+00   2.76772234E+01
   1.26300001E+01   3.84000015E+00   1.17122095E+00   1.95203491E+01
   1.28800001E+01   4.09999990E+00   8.00000200E-01   1.33333367E+01
   1.31300001E+01   4.24000025E+00   5.19999520E-01   8.66665867E+00
   1.33800001E+01   4.35999966E+00   3.95534913E-01   6.59224855E+00
   1.36400003E+01   4.44000006E+00   2.73183007E-01   4.55305011E+00
   1.38900003E+01   4.50000000E+00   1.99999800E-01   3.33333000E+00
   1.41400003E+01   4.53999996E+00   1.40000340E-01   2.33333900E+00
   1.43900003E+01   4.57000017E+00   8.75719857E-02   1.45953310E+00
   1.46499996E+01   4.58400011E+00   4.27086677E-02   7.11811128E-01
   1.48999996E+01   4.59200001E+00   2.39992200E-02   3.99987000E-01
   1.51499996E+01   4.59599972E+00   1.20000800E-02   2.00001333E-01
   1.53999996E+01   4.59800005E+00   5.96434122E-03   9.94056870E-02
   1.56599998E+01   4.59899998E+00   3.10847975E-03   5.18079958E-02
   1.59099998E+01   4.59959984E+00   1.60026000E-03   2.66710000E-02
   1.61599998E+01   4.59980011E+00   4.00540000E-04   6.67566667E-03
   1.64099998E+01   4.59980011E+00   0.00000000E+00   0.00000000E+00
   1.66700001E+01   4.59980011E+00   0.00000000E+00   0.00000000E+00
   1.69200001E+01   4.59980011E+00   0.00000000E+00   0.00000000E+00
   1.71700001E+01   4.59980011E+00   0.00000000E+00   0.00000000E+00
   1.74200001E+01   4.59980011E+00   1.77635684E-15   2.96059473E-14
   1.76800003E+01   4.59980011E+00  -1.77635684E-15  -2.96059473E-14
   1.79300003E+01   4.59980011E+00   0.00000000E+00   0.00000000E+00
   1.81800003E+01   4.59980011E+00   0.00000000E+00   0.00000000E+00
   1.84300003E+01   4.59980011E+00   1.77635684E-15   2.96059473E-14
   1.86900005E+01   4.59980011E+00  -1.77635684E-15  -2.96059473E-14
   1.89400005E+01   4.59980011E+00   0.00000000E+00   0.00000000E+00
   1.91900005E+01   4.59980011E+00   0.00000000E+00   0.00000000E+00
   1.94400005E+01   4.59980011E+00   0.00000000E+00   0.00000000E+00
   1.97000008E+01   4.59980011E+00   0.00000000E+00   0.00000000E+00
   1.99500008E+01   4.59980011E+00   3.99580000E-04   6.65966667E-03
   2.02000008E+01   4.59999990E+00   8.04004600E-02   1.34000767E+00
   2.04500008E+01   4.64000034E+00   1.94691553E-01   3.24485921E+00
   2.07099991E+01   4.69999981E+00   2.35474716E-01   3.92457860E+00
   2.09599991E+01   4.75999975E+00   2.40000720E-01   4.00001200E+00
   2.12099991E+01   4.82000017E+00   1.99999820E-01   3.33333033E+00
   2.14599991E+01   4.85999966E+00   1.56983141E-01   2.61638569E+00
   2.17199993E+01   4.90000010E+00   1.36591466E-01   2.27652444E+00
   2.19699993E+01   4.92999983E+00   1.12000460E-01   1.86667433E+00
   2.22199993E+01   4.95600033E+00   9.20000000E-02   1.53333333E+00
   2.24699993E+01   4.97599983E+00   6.34078873E-02   1.05679812E+00
   2.27299995E+01   4.98799992E+00   3.48599581E-02   5.80999302E-01
   2.29799995E+01   4.99399996E+00   1.80006000E-02   3.00010000E-01
   2.32299995E+01   4.99700022E+00   9.20010000E-03   1.53335000E-01
   2.34799995E+01   4.99860001E+00   4.77085680E-03   7.95142801E-02
   2.37399998E+01   4.99940014E+00   2.32436758E-03   3.87394596E-02
   2.39899998E+01   4.99980021E+00   8.00140000E-04   1.33356667E-02
   2.42399998E+01   4.99980021E+00   3.99580000E-04   6.65966667E-03
   2.44899998E+01   5.00000000E+00   4.07415056E-04   6.79025093E-03
   2.47500000E+01   5.00000000E+00   0.00000000E+00   0.00000000E+00
   2.50000000E+01   5.00000000E+00   3.55271368E-15   5.92118946E-14
