# tiempo_min   distancia_km   v_km_per_min   v_m_per_s
   0.00000000E+00   0.00000000E+00   8.27270034E-01   1.37878339E+01
   2.50000000E-01   2.40000010E-01   1.09273005E+00   1.82121674E+01
   5.09999990E-01   5.60000002E-01   1.29665154E+00   2.16108590E+01
   7.59999990E-01   8.99999976E-01   1.36000002E+00   2.26666669E+01
   1.00999999E+00   1.24000001E+00   1.20000005E+00   2.00000008E+01
   1.25999999E+00   1.50000000E+00   7.94147779E-01   1.32357963E+01
   1.51999998E+00   1.63999999E+00   4.27089064E-01   7.11815107E+00
   1.76999998E+00   1.72000003E+00   2.40000000E-01   4.00000000E+00
   2.01999998E+00   1.75999999E+00   1.19999880E-01   1.99999800E+00
   2.26999998E+00   1.77999997E+00   5.96379497E-02   9.93965829E-01
   2.52999997E+00   1.78999996E+00   3.10888083E-02   5.18146805E-01
   2.77999997E+00   1.79599988E+00   1.99999800E-02   3.33333000E-01
   3.02999997E+00   1.79999995E+00   2.08000200E-01   3.46667000E+00
   3.27999997E+00   1.89999998E+00   4.67873338E-01   7.79788897E+00
   3.53999996E+00   2.03999996E+00   5.08657855E-01   8.47763092E+00
   3.78999996E+00   2.16000009E+00   4.00000100E-01   6.66666833E+00
   4.03999996E+00   2.24000001E+00   2.59999740E-01   4.33332900E+00
   4.28999996E+00   2.28999996E+00   1.58522133E-01   2.64203555E+00
   4.55000019E+00   2.32000017E+00   9.73452076E-02   1.62242013E+00
   4.80000019E+00   2.33999991E+00   5.99994600E-02   9.99991000E-01
   5.05000019E+00   2.34999990E+00   1.20000380E-01   2.00000633E+00
   5.30000019E+00   2.40000010E+00   2.90498183E-01   4.84163638E+00
   5.55999994E+00   2.50000000E+00   4.74026835E-01   7.90044725E+00
   5.80999994E+00   2.63999987E+00   5.99999900E-01   9.99999833E+00
   6.05999994E+00   2.79999995E+00   6.40000340E-01   1.06666723E+01
   6.30999994E+00   2.96000004E+00   5.52518650E-01   9.20864417E+00
   6.57000017E+00   3.07999992E+00   3.89381488E-01   6.48969146E+00
   6.82000017E+00   3.16000009E+00   2.80000220E-01   4.66667033E+00
   7.07000017E+00   3.22000003E+00   1.99999320E-01   3.33332200E+00
   7.32000017E+00   3.25999975E+00   1.38130035E-01   2.30216724E+00
   7.57999992E+00   3.29000020E+00   9.73457808E-02   1.62242968E+00
   7.82999992E+00   3.30999994E+00   5.99999400E-02   9.99999000E-01
   8.07999992E+00   3.32000017E+00  -5.39999960E-01  -8.99999933E+00
   8.32999992E+00   3.03999996E+00  -1.47595727E+00  -2.45992879E+01
   8.59000015E+00   2.55999994E+00  -2.25085906E+00  -3.75143177E+01
