# tiempo_min   distancia_km   v_km_per_min   v_m_per_s
   2.14599991E+01   4.86999989E+00   2.35476802E-02   3.92461336E-01
   2.17199993E+01   4.87599993E+00   8.06454758E-02   1.34409126E+00
   2.19699993E+01   4.90999985E+00   2.16000560E-01   3.60000933E+00
   2.22199993E+01   4.98400021E+00   1.80000300E-01   3.00000500E+00
   2.24699993E+01   5.00000000E+00   3.26270350E-02   5.43783917E-01
   2.27299995E+01   5.00000000E+00   0.00000000E+00   0.00000000E+00
   2.29799995E+01   5.00000000E+00   0.00000000E+00   0.00000000E+00
   2.32299995E+01   5.00000000E+00   0.00000000E+00   0.00000000E+00
   2.34799995E+01   5.00000000E+00   0.00000000E+00   0.00000000E+00
   2.37399998E+01   5.00000000E+00   0.00000000E+00   0.00000000E+00
   2.39899998E+01   5.00000000E+00   0.00000000E+00   0.00000000E+00
   2.42399998E+01   5.00000000E+00   0.00000000E+00   0.00000000E+00
   2.44899998E+01   5.00000000E+00   0.00000000E+00   0.00000000E+00
   2.47500000E+01   5.00000000E+00   0.00000000E+00   0.00000000E+00
   2.50000000E+01   5.00000000E+00   3.55271368E-15   5.92118946E-14
