# t   x   y   vx   vy   r   v   E   L
  0.00000000000000E+00  1.00000000000000E+00  1.00000000000000E+00 -7.50000000000000E-01  7.50000000000000E-01  1.41421356237310E+00  1.06066017177982E+00 -6.50856781186547E+00  1.50000000000000E+00
  2.50000000000000E-04  9.99812389521468E-01  1.00018738950766E+00 -7.50883800661964E-01  7.49116033609864E-01  1.41421343098231E+00  1.06066079116178E+00 -6.50856781186548E+00  1.50000000000000E+00
  5.00000000000000E-04  9.99624558113455E-01  1.00037455800297E+00 -7.51767435893040E-01  7.48231901194032E-01  1.41421303680993E+00  1.06066264930638E+00 -6.50856781186547E+00  1.50000000000000E+00
  7.50000000000000E-04  9.99436505817282E-01  1.00056150544439E+00 -7.52650905990269E-01  7.47347602454741E-01  1.41421237985580E+00  1.06066574620981E+00 -6.50856781186547E+00  1.50000000000000E+00
  1.00000000000000E-03  9.99248232674196E-01  1.00074823179031E+00 -7.53534211250455E-01  7.46463137093984E-01  1.41421146011972E+00  1.06067008186572E+00 -6.50856781186548E+00  1.50000000000000E+00
  1.25000000000000E-03  9.99059738725369E-01  1.00093473699903E+00 -7.54417351970162E-01  7.45578504813514E-01  1.41421027760136E+00  1.06067565626521E+00 -6.50856781186548E+00  1.50000000000000E+00
  1.50000000000000E-03  9.98871024011898E-01  1.00112102102878E+00 -7.55300328445717E-01  7.44693705314839E-01  1.41420883230034E+00  1.06068246939683E+00 -6.50856781186548E+00  1.50000000000000E+00
  1.75000000000000E-03  9.98682088574808E-01  1.00130708383773E+00 -7.56183140973208E-01  7.43808738299224E-01  1.41420712421617E+00  1.06069052124660E+00 -6.50856781186548E+00  1.50000000000000E+00
  2.00000000000000E-03  9.98492932455049E-01  1.00149292538395E+00 -7.57065789848486E-01  7.42923603467693E-01  1.41420515334826E+00  1.06069981179801E+00 -6.50856781186548E+00  1.50000000000000E+00
  2.25000000000000E-03  9.98303555693497E-01  1.00167854562545E+00 -7.57948275367166E-01  7.42038300521023E-01  1.41420291969597E+00  1.06071034103198E+00 -6.50856781186548E+00  1.50000000000000E+00
  2.50000000000000E-03  9.98113958330954E-01  1.00186394452017E+00 -7.58830597824624E-01  7.41152829159746E-01  1.41420042325853E+00  1.06072210892692E+00 -6.50856781186548E+00  1.50000000000000E+00
  2.75000000000000E-03  9.97924140408149E-01  1.00204912202597E+00 -7.59712757516004E-01  7.40267189084150E-01  1.41419766403511E+00  1.06073511545867E+00 -6.50856781186548E+00  1.50000000000000E+00
  3.00000000000000E-03  9.97734101965735E-01  1.00223407810063E+00 -7.60594754736213E-01  7.39381379994276E-01  1.41419464202478E+00  1.06074936060055E+00 -6.50856781186548E+00  1.50000000000000E+00
  3.25000000000000E-03  9.97543843044295E-01  1.00241881270186E+00 -7.61476589779924E-01  7.38495401589918E-01  1.41419135722652E+00  1.06076484432334E+00 -6.50856781186548E+00  1.50000000000000E+00
