# t   x   y   vx   vy   r   v   E   L
  0.00000000000000E+00  1.00000000000000E+00  1.00000000000000E+00 -1.00000000000000E+00  1.00000000000000E+00  1.41421356237310E+00  1.41421356237310E+00 -6.07106781186547E+00  2.00000000000000E+00
  2.50000000000000E-04  9.99749889523770E-01  1.00024988950536E+00 -1.00088377302852E+00  9.99116006000588E-01  1.41421345031727E+00  1.41421395855025E+00 -6.07106781186548E+00  2.00000000000000E+00
  5.00000000000000E-04  9.99499558131881E-01  1.00049955798457E+00 -1.00176732531091E+00  9.98231790805255E-01  1.41421311414975E+00  1.41421514708153E+00 -6.07106781186548E+00  2.00000000000000E+00
  7.50000000000000E-04  9.99249005879492E-01  1.00074900538231E+00 -1.00265065707168E+00  9.97347354188704E-01  1.41421255387047E+00  1.41421712796638E+00 -6.07106781186548E+00  2.00000000000000E+00
  1.00000000000000E-03  9.98998232821703E-01  1.00099823164319E+00 -1.00353376853504E+00  9.96462695925371E-01  1.41421176947927E+00  1.41421990120384E+00 -6.07106781186548E+00  2.00000000000000E+00
  1.25000000000000E-03  9.98747239013563E-01  1.00124723671178E+00 -1.00441665992498E+00  9.95577815789426E-01  1.41421076097596E+00  1.41422346679260E+00 -6.07106781186548E+00  2.00000000000000E+00
  1.50000000000000E-03  9.98496024510062E-01  1.00149602053258E+00 -1.00529933146518E+00  9.94692713554769E-01  1.41420952836027E+00  1.41422782473097E+00 -6.07106781186548E+00  2.00000000000000E+00
  1.75000000000000E-03  9.98244589366133E-01  1.00174458305003E+00 -1.00618178337909E+00  9.93807388995035E-01  1.41420807163191E+00  1.41423297501687E+00 -6.07106781186548E+00  2.00000000000000E+00
  2.00000000000000E-03  9.97992933636656E-01  1.00199292420853E+00 -1.00706401588988E+00  9.92921841883589E-01  1.41420639079049E+00  1.41423891764785E+00 -6.07106781186548E+00  2.00000000000000E+00
  2.25000000000000E-03  9.97741057376453E-01  1.00224104395241E+00 -1.00794602922046E+00  9.92036071993529E-01  1.41420448583559E+00  1.41424565262108E+00 -6.07106781186548E+00  2.00000000000000E+00
  2.50000000000000E-03  9.97488960640292E-01  1.00248894222594E+00 -1.00882782359346E+00  9.91150079097683E-01  1.41420235676672E+00  1.41425317993338E+00 -6.07106781186548E+00  2.00000000000000E+00
  2.75000000000000E-03  9.97236643482884E-01  1.00273661897335E+00 -1.00970939923128E+00  9.90263862968610E-01  1.41420000358334E+00  1.41426149958114E+00 -6.07106781186548E+00  2.00000000000000E+00
  3.00000000000000E-03  9.96984105958886E-01  1.00298407413880E+00 -1.01059075635602E+00  9.89377423378601E-01  1.41419742628486E+00  1.41427061156043E+00 -6.07106781186548E+00  2.00000000000000E+00
  3.25000000000000E-03  9.96731348122897E-01  1.00323130766640E+00 -1.01147189518955E+00  9.88490760099675E-01  1.41419462487061E+00  1.41428051586691E+00 -6.07106781186548E+00  2.00000000000000E+00
  3.50000000000000E-03  9.96478370029463E-01  1.00347831950019E+00 -1.01235281595344E+00  9.87603872903583E-01  1.41419159933989E+00  1.41429121249587E+00 -6.07106781186548E+00  2.00000000000000E+00
  3.75000000000000E-03  9.96225171733074E-01  1.00372510958417E+00 -1.01323351886904E+00  9.86716761561805E-01  1.41418834969192E+00  1.41430270144222E+00 -6.07106781186548E+00  2.00000000000000E+00
  4.00000000000000E-03  9.95971753288164E-01  1.00397167786228E+00 -1.01411400415741E+00  9.85829425845551E-01  1.41418487592588E+00  1.41431498270051E+00 -6.07106781186548E+00  2.00000000000000E+00
  4.25000000000000E-03  9.95718114749113E-01  1.00421802427838E+00 -1.01499427203934E+00  9.84941865525758E-01  1.41418117804088E+00  1.41432805626489E+00 -6.07106781186548E+00  2.00000000000000E+00
  4.50000000000000E-03  9.95464256170244E-01  1.00446414877630E+00 -1.01587432273539E+00  9.84054080373095E-01  1.41417725603599E+00  1.41434192212916E+00 -6.07106781186548E+00  2.00000000000000E+00
  4.75000000000000E-03  9.95210177605826E-01  1.00471005129981E+00 -1.01675415646583E+00  9.83166070157957E-01  1.41417310991020E+00  1.41435658028673E+00 -6.07106781186548E+00  2.00000000000000E+00
  5.00000000000000E-03  9.94955879110073E-01  1.00495573179261E+00 -1.01763377345068E+00  9.82277834650469E-01  1.41416873966246E+00  1.41437203073063E+00 -6.07106781186548E+00  2.00000000000000E+00
  5.25000000000000E-03  9.94701360737144E-01  1.00520119019834E+00 -1.01851317390971E+00  9.81389373620481E-01  1.41416414529166E+00  1.41438827345352E+00 -6.07106781186548E+00  2.00000000000000E+00
  5.50000000000000E-03  9.94446622541144E-01  1.00544642646061E+00 -1.01939235806241E+00  9.80500686837573E-01  1.41415932679663E+00  1.41440530844769E+00 -6.07106781186548E+00  2.00000000000000E+00
  5.75000000000000E-03  9.94191664576120E-01  1.00569144052293E+00 -1.02027132612803E+00  9.79611774071052E-01  1.41415428417614E+00  1.41442313570504E+00 -6.07106781186548E+00  2.00000000000000E+00
  6.00000000000000E-03  9.93936486896069E-01  1.00593623232879E+00 -1.02115007832553E+00  9.78722635089951E-01  1.41414901742891E+00  1.41444175521711E+00 -6.07106781186548E+00  2.00000000000000E+00
  6.25000000000000E-03  9.93681089554928E-01  1.00618080182160E+00 -1.02202861487364E+00  9.77833269663030E-01  1.41414352655359E+00  1.41446116697505E+00 -6.07106781186548E+00  2.00000000000000E+00
  6.50000000000000E-03  9.93425472606584E-01  1.00642514894473E+00 -1.02290693599082E+00  9.76943677558775E-01  1.41413781154880E+00  1.41448137096965E+00 -6.07106781186548E+00  2.00000000000000E+00
